evidence_id,owner_type,owner_id,evidence_index,evidence_type,evidence_value,evidence_raw,review_status,source_hash,hash_status,created_at
ev_node_concept_sr_02,NODE,concept_sr,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_sr_03,NODE,concept_sr,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_00,NODE,concept_priority_list,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_01,NODE,concept_priority_list,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_02,NODE,concept_priority_list,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_03,NODE,concept_priority_list,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_00,NODE,concept_vessel_loading,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_01,NODE,concept_vessel_loading,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_02,NODE,concept_vessel_loading,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_03,NODE,concept_vessel_loading,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_00,NODE,concept_inspection_tpi,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_01,NODE,concept_inspection_tpi,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_02,NODE,concept_inspection_tpi,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_03,NODE,concept_inspection_tpi,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_00,NODE,entity_mosb,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_01,NODE,entity_mosb,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_02,NODE,entity_mosb,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_03,NODE,entity_mosb,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_00,NODE,member_jhysn,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_01,NODE,member_jhysn,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_02,NODE,member_jhysn,2,degree,7,degree:7,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_03,NODE,member_jhysn,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_00,NODE,role_mosb_vp24_field_supervisor,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_01,NODE,role_mosb_vp24_field_supervisor,1,community,Marine & MOSB Handling,community:Marine & MOSB Handling,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_02,NODE,role_mosb_vp24_field_supervisor,2,degree,3,degree:3,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_03,NODE,role_mosb_vp24_field_supervisor,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mosb_vp24_supervision_00,NODE,concept_mosb_vp24_supervision,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mosb_vp24_supervision_01,NODE,concept_mosb_vp24_supervision,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mosb_vp24_supervision_02,NODE,concept_mosb_vp24_supervision,2,degree,2,degree:2,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mosb_vp24_supervision_03,NODE,concept_mosb_vp24_supervision,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_container_stuffing_00,NODE,concept_container_stuffing,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_container_stuffing_01,NODE,concept_container_stuffing,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_container_stuffing_02,NODE,concept_container_stuffing,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_container_stuffing_03,NODE,concept_container_stuffing,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_ccu_management_00,NODE,concept_ccu_management,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_ccu_management_01,NODE,concept_ccu_management,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_ccu_management_02,NODE,concept_ccu_management,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_ccu_management_03,NODE,concept_ccu_management,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_karthik_00,NODE,member_karthik,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_karthik_01,NODE,member_karthik,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_karthik_02,NODE,member_karthik,2,degree,7,degree:7,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_karthik_03,NODE,member_karthik,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_domestic_lpo_document_controller_00,NODE,role_domestic_lpo_document_controller,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_domestic_lpo_document_controller_01,NODE,role_domestic_lpo_document_controller,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_domestic_lpo_document_controller_02,NODE,role_domestic_lpo_document_controller,2,degree,6,degree:6,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_domestic_lpo_document_controller_03,NODE,role_domestic_lpo_document_controller,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_packing_list_00,NODE,concept_packing_list,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_packing_list_01,NODE,concept_packing_list,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_packing_list_02,NODE,concept_packing_list,2,degree,3,degree:3,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_packing_list_03,NODE,concept_packing_list,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_lpo_00,NODE,concept_lpo,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_lpo_01,NODE,concept_lpo,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_lpo_02,NODE,concept_lpo,2,degree,4,degree:4,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_lpo_03,NODE,concept_lpo,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mrr_00,NODE,concept_mrr,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mrr_01,NODE,concept_mrr,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mrr_02,NODE,concept_mrr,2,degree,2,degree:2,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_mrr_03,NODE,concept_mrr,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_dsv_yard_repair_00,NODE,concept_dsv_yard_repair,0,source,team/Karthik_major_work_analysis.en.md,source:team/Karthik_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_dsv_yard_repair_01,NODE,concept_dsv_yard_repair,1,community,Warehouse & LPO Execution,community:Warehouse & LPO Execution,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_dsv_yard_repair_02,NODE,concept_dsv_yard_repair,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_dsv_yard_repair_03,NODE,concept_dsv_yard_repair,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_ken_00,NODE,member_ken,0,source,team/Ken_major_work_analysis.en.md,source:team/Ken_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
